"scenario_id","model","prompt_type","dataset","gen_tflint_ok","gen_tflint_total","gen_tflint_error","gen_tflint_warning","gen_tflint_notice","gen_tflint_info","gen_tflint_error","gen_trivy_ok","gen_trivy_total","gen_trivy_critical","gen_trivy_high","gen_trivy_medium","gen_trivy_low","gen_trivy_unknown","gen_trivy_error"
"paraphrased_0000","claude-4.5-sonnet","cot","iac_eval_paraphrased","True","3","","3","0","0","","True","1","0","0","0","1","0",""
"paraphrased_0002","claude-4.5-sonnet","cot","iac_eval_paraphrased","True","2","","2","0","0","","True","7","2","4","1","0","0",""
"paraphrased_0001","claude-4.5-sonnet","cot","iac_eval_paraphrased","True","0","","0","0","0","","True","3","0","0","3","0","0",""
"paraphrased_0003","claude-4.5-sonnet","cot","iac_eval_paraphrased","True","1","","1","0","0","","True","30","4","5","9","12","0",""
"paraphrased_0004","claude-4.5-sonnet","cot","iac_eval_paraphrased","True","2","","2","0","0","","True","18","2","3","7","6","0",""
"paraphrased_0005","claude-4.5-sonnet","cot","iac_eval_paraphrased","True","2","","2","0","0","","True","12","1","1","5","5","0",""
"paraphrased_0006","claude-4.5-sonnet","cot","iac_eval_paraphrased","True","2","","2","0","0","","True","0","0","0","0","0","0",""
"paraphrased_0007","claude-4.5-sonnet","cot","iac_eval_paraphrased","True","1","","1","0","0","","True","0","0","0","0","0","0",""
"paraphrased_0008","claude-4.5-sonnet","cot","iac_eval_paraphrased","True","3","","3","0","0","","True","0","0","0","0","0","0",""
"paraphrased_0010","claude-4.5-sonnet","cot","iac_eval_paraphrased","True","1","","1","0","0","","True","8","0","5","1","2","0",""
"paraphrased_0009","claude-4.5-sonnet","cot","iac_eval_paraphrased","True","1","","1","0","0","","True","8","0","6","0","2","0",""
"paraphrased_0011","claude-4.5-sonnet","cot","iac_eval_paraphrased","True","2","","2","0","0","","True","7","0","5","0","2","0",""
"paraphrased_0013","claude-4.5-sonnet","cot","iac_eval_paraphrased","True","0","","0","0","0","","True","0","0","0","0","0","0",""
"paraphrased_0012","claude-4.5-sonnet","cot","iac_eval_paraphrased","True","1","","1","0","0","","True","7","1","2","1","3","0",""
"paraphrased_0014","claude-4.5-sonnet","cot","iac_eval_paraphrased","True","1","","1","0","0","","True","14","2","3","4","5","0",""
"paraphrased_0015","claude-4.5-sonnet","cot","iac_eval_paraphrased","True","1","","1","0","0","","True","19","2","4","7","6","0",""
"paraphrased_0016","claude-4.5-sonnet","cot","iac_eval_paraphrased","True","1","","1","0","0","","True","14","2","3","3","6","0",""
